content;score;thumbsUpCount;at;appVersion
très bonne application le vert et le noir rendent bien jadore le principe des rétrospectives;5;2953;09/10/2024;8.9.78.513
une appli tout simplement génialeil y a plein de musique et on peut même choisir les genres de musiques que lon veutil y a les paroles directement intégrées et même si on quitte lappli la musique reste et on peut la mettre en pause et changer de musique sans devoir aller sur lapplisi on écoute un message vocalla musique va se baisser assez pour quon entende bien le message et elle va se remettrevraimentje recommande fortement;5;2344;27/05/2024;8.9.42.575
absolument rien à redire depuis le tout début que je lutilise simple dutilisation et intuitif cependant deux petites questions et suggestions rajouter la fonction de recherche par année de publication du morceau de lalbum et du coup lajouter dans les filtres de recherche des playlist pour améliorer un peu plus la précision sinon très content;5;2048;03/10/2023;8.8.74.652
excellente appli on a tous les titres quon veut mais il reste quand même quelques détails un peu génants par exemple quand je veux écouter une chanson qui nest pas sur une playlist ça men met une autre aussi il a pas mal de pubs quand on écoute nos playlist mais il y a une astuce on quitte et on ferme lappli puis on la rouvre et les 3 pubs de 30 sec ne sont plus là bref je recommande quand même fortement cette application de musique tu est une personne magnifique;4;1603;16/07/2022;8.7.48.1058
ayant souscrit à un abonnement premium je trouve que le rapport qualité prix est vraiment nickel labo nest pas très cher en soi pour les fonctionnalités proposées je ne sais pas combien de milliers dheures je passe sur spotify tous les mois mais cest définitivement lapp dont je ne peux plus me passer;5;1483;31/05/2019;8.5.8.567
je lis des coms qui se plaignent de lergonomie bah purée questce quil vous faut spotify est de tous les sites de streaming la plus ergonomique et la plus facile dutilisation le son est excellent de nombreuses playlists sur différents thèmes dautres qui sont personnalisées au goût de lutilisateur possibilité de créer ses propres playlists je trouve aussi que dun point de vue esthétique spotify est la plus jolie avec ses couleurs et ses ptites vidéos;5;1395;07/11/2024;8.9.86.551
je paie un abonnement à spotify depuis plusieurs années maintenant et jen étais pleinement satisfait jusquà il y a peu la gestion de la bibliothèque est devenue catastrophique on ne peut plus classer par titre tous les morceaux enregistrés se retrouvent dans un dossier like on met un temps fou à retrouver un titre les artistes des morceaux likés ne se retrouvent pas dans la catégorie artiste je pense sérieusement à résilier mon abonnement si pas de màj en conséquence;1;1392;10/05/2019;8.5.5.853
si vous essayez decouter un album mixé vous aurez les chansons originales donc non mixées spotify ne fait aucun effort de ce côté là linterface est brouillon on naccède toujours pas à la liste de lecture complète quand on veut ecouter les chansons populaires dun artiste juste les 5 premières après cest à laveugle un son decevant toujours un peu en dessous du volume normal quand on écoute via bluetooth comparé à toutes les autres alternatives et ce depuis des années;1;1347;10/06/2019;8.5.9.737
très content de lavoir téléchargée en décembre 2020 cela fait à présent quelques mois que je déchante au vu des pubs de plus en plus nombreuses il y en a à peu près toutes les 2 à 3 musiques et par 2 voire 3 plus possible également découter la publicité pour avoir les 30 minutes de musique sans interruption;2;1315;10/05/2024;8.9.38.494
je nai pas spotify depuis très longtemps mais jen suis vraiment très satisfaite cest gratuit et il y a de nombreux avantages vous pouvez verrouiller votre écran ou faire autre chose sans que votre musique sarrête et il ny a pas de coupures hors connexion évidemment dans ce cas vous devrez vous contenter de la dernière musique écoutée en boucle création de playlists possibles vraiment super en comparaison avec youtube music que jutilisais avant;5;1283;23/03/2022;8.7.14.1332
application qui saméliore un peu plus à chaque mise à jour ce dernier changement avec les likes est selon moi bien plus pratique quavant de plus linterface est belle et intuitive jai la version premium depuis plusieurs années et je nen ai jamais été déçu merci spotify;5;1230;15/09/2023;8.8.70.532
jadore spotify jy ai passé des heures à faire des playlists et a les écouter cependant le mois dernier une fonctionnalité que jaimais beaucoup a disparue il sagit de celle qui fait quon peut écouter un extrait de 30 secondes des chansons dans longlet ajouter des titres dune playlist cette fonction faisait quen écoutant une petite partie jécoutais plus de chansons sur lesquelles je naurai pas cliqué si je navais pas en pu écouter une partie et je trouve ça dommage;4;1210;09/05/2022;8.7.28.1217
